Year,Month,Country,CountryCode,Continent,Population ,Unemployment rate total,Unemployment rate men,Unemployment rate women,Unemployment rate 14-24yo,Unemployment rate 14-24yo men,Unemployment rate 14-24yo women,Unemployment rate 25-75yo,Unemployment rate 25-75yo men,Unemployment rate 25-75yo women,CovidDeath,CovidCases,Recent graduates employment rate total (20-34yo),Recent graduates employment rate men,Recent graduates employment rate women
2021,7,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,35,2319,,,
2021,6,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,5,262,,,
2021,5,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,1,109,,,
2021,5,India,IND,Asia,1.380004385E9,,,,,,,,,,108597,9634407,,,
2021,4,India,IND,Asia,1.380004385E9,,,,,,,,,,33280,5078396,,,
2021,3,India,IND,Asia,1.380004385E9,,,,,,,,,,4686,927403,,,
2021,2,India,IND,Asia,1.380004385E9,,,,,,,,,,2765,354631,,,
2021,9,India,IND,Asia,1.380004385E9,,,,,,,,,,11232,1038662,,,
2021,8,India,IND,Asia,1.380004385E9,,,,,,,,,,17534,1081284,,,
2021,7,India,IND,Asia,1.380004385E9,,,,,,,,,,25973,1209008,,,
2021,6,India,IND,Asia,1.380004385E9,,,,,,,,,,84415,3182774,,,
2021,11,Korea -  Republic of,KOR,Asia,5.1269183E7,,,,,,,,,,397,48878,,,
2021,10,Korea -  Republic of,KOR,Asia,5.1269183E7,,,,,,,,,,223,58401,,,
2021,12,Korea -  Republic of,KOR,Asia,5.1269183E7,,,,,,,,,,913,95664,,,
2011,9,Germany,DEU,,,5.7,,,8.3,,,5.3,,,,,88.3,88.9,87.6
2021,1,India,IND,Asia,1.380004385E9,,,,,,,,,,4743,417141,,,
2019,1,Sweden,SWE,,,,,,,,,,,,,,88.7,89.6,87.7
2011,8,Germany,DEU,,,5.7,,,8.4,,,5.4,,,,,88.3,88.9,87.6
2019,2,Sweden,SWE,,,,,,,,,,,,,,88.7,89.6,87.7
2011,7,Germany,DEU,,,5.8,,,8.4,,,5.4,,,,,88.3,88.9,87.6
2011,6,Germany,DEU,,,5.8,,,8.5,,,5.5,,,,,88.3,88.9,87.6
2019,5,Sweden,SWE,,,,,,,,,,,,,,88.7,89.6,87.7
2019,6,Sweden,SWE,,,,,,,,,,,,,,88.7,89.6,87.7
2019,3,Sweden,SWE,,,,,,,,,,,,,,88.7,89.6,87.7
2019,4,Sweden,SWE,,,,,,,,,,,,,,88.7,89.6,87.7
2019,9,Sweden,SWE,,,,,,,,,,,,,,88.7,89.6,87.7
2019,7,Sweden,SWE,,,,,,,,,,,,,,88.7,89.6,87.7
2019,8,Sweden,SWE,,,,,,,,,,,,,,88.7,89.6,87.7
2020,9,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,54,,,
2022,1,Sao Tome and Principe,STP,Africa,219161.0,,,,,,,,,,5,534,,,
2020,6,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,1,,,
2020,5,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,1,,,
2020,8,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,18,,,
2020,7,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,9,,,
2020,2,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,0,,,
2020,1,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,0,,,
2020,4,Monaco,MCO,Europe,39244.0,,,,,,,,,,1,45,,,
2020,3,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,20,,,
