Year,Month,Country,Recent_graduates_20-34_employment_rate_t,Recent_graduates_20-34_employment_rate_m,Recent_graduates_20-34_employment_rate_f
2020,2,BEL,82.9,84.1,81.6
2020,3,BEL,82.9,84.1,81.6
2020,4,BEL,82.9,84.1,81.6
2020,5,BEL,82.9,84.1,81.6
2020,6,BEL,82.9,84.1,81.6
2020,7,BEL,82.9,84.1,81.6
2020,8,BEL,82.9,84.1,81.6
2020,9,BEL,82.9,84.1,81.6
2020,10,BEL,82.9,84.1,81.6
2020,11,BEL,82.9,84.1,81.6
2020,12,BEL,82.9,84.1,81.6
2009,1,EST,67.7,75.4,60.2
2009,2,EST,67.7,75.4,60.2
2009,3,EST,67.7,75.4,60.2
2009,4,EST,67.7,75.4,60.2
2009,5,EST,67.7,75.4,60.2
2009,6,EST,67.7,75.4,60.2
2009,7,EST,67.7,75.4,60.2
2009,8,EST,67.7,75.4,60.2
2009,9,EST,67.7,75.4,60.2
2009,10,EST,67.7,75.4,60.2
2009,11,EST,67.7,75.4,60.2
2009,12,EST,67.7,75.4,60.2
2010,1,EST,64.5,72.1,57.6
2010,2,EST,64.5,72.1,57.6
2010,3,EST,64.5,72.1,57.6
2010,4,EST,64.5,72.1,57.6
2010,5,EST,64.5,72.1,57.6
2010,6,EST,64.5,72.1,57.6
2010,7,EST,64.5,72.1,57.6
2010,8,EST,64.5,72.1,57.6
2010,9,EST,64.5,72.1,57.6
2010,10,EST,64.5,72.1,57.6
2010,11,EST,64.5,72.1,57.6
2010,12,EST,64.5,72.1,57.6
2011,1,EST,75.1,81.8,68.5
2011,2,EST,75.1,81.8,68.5
2011,3,EST,75.1,81.8,68.5
2011,4,EST,75.1,81.8,68.5
2011,5,EST,75.1,81.8,68.5
2011,6,EST,75.1,81.8,68.5
2011,7,EST,75.1,81.8,68.5
2011,8,EST,75.1,81.8,68.5
2011,9,EST,75.1,81.8,68.5
2011,10,EST,75.1,81.8,68.5
2011,11,EST,75.1,81.8,68.5
2011,12,EST,75.1,81.8,68.5
2012,1,EST,74.9,81.4,66.8
2012,2,EST,74.9,81.4,66.8
2012,3,EST,74.9,81.4,66.8
2012,4,EST,74.9,81.4,66.8
2012,5,EST,74.9,81.4,66.8
2012,6,EST,74.9,81.4,66.8
2012,7,EST,74.9,81.4,66.8
2012,8,EST,74.9,81.4,66.8
2012,9,EST,74.9,81.4,66.8
2012,10,EST,74.9,81.4,66.8
2012,11,EST,74.9,81.4,66.8
2012,12,EST,74.9,81.4,66.8
2013,1,EST,76.8,82.5,69.7
2013,2,EST,76.8,82.5,69.7
2013,3,EST,76.8,82.5,69.7
2013,4,EST,76.8,82.5,69.7
2013,5,EST,76.8,82.5,69.7
2013,6,EST,76.8,82.5,69.7
2013,7,EST,76.8,82.5,69.7
2013,8,EST,76.8,82.5,69.7
2013,9,EST,76.8,82.5,69.7
2013,10,EST,76.8,82.5,69.7
2013,11,EST,76.8,82.5,69.7
2013,12,EST,76.8,82.5,69.7
2014,1,EST,80.9,82.8,79.1
2014,2,EST,80.9,82.8,79.1
2014,3,EST,80.9,82.8,79.1
2014,4,EST,80.9,82.8,79.1
2014,5,EST,80.9,82.8,79.1
2014,6,EST,80.9,82.8,79.1
2014,7,EST,80.9,82.8,79.1
2014,8,EST,80.9,82.8,79.1
2014,9,EST,80.9,82.8,79.1
2014,10,EST,80.9,82.8,79.1
2014,11,EST,80.9,82.8,79.1
2014,12,EST,80.9,82.8,79.1
2015,1,EST,80.4,85.2,76.5
2015,2,EST,80.4,85.2,76.5
2015,3,EST,80.4,85.2,76.5
2015,4,EST,80.4,85.2,76.5
2015,5,EST,80.4,85.2,76.5
2015,6,EST,80.4,85.2,76.5
2015,7,EST,80.4,85.2,76.5
2015,8,EST,80.4,85.2,76.5
2015,9,EST,80.4,85.2,76.5
2015,10,EST,80.4,85.2,76.5
2015,11,EST,80.4,85.2,76.5
2015,12,EST,80.4,85.2,76.5
2016,1,EST,77.1,87.7,69
2016,2,EST,77.1,87.7,69
2016,3,EST,77.1,87.7,69
2016,4,EST,77.1,87.7,69
2016,5,EST,77.1,87.7,69
2016,6,EST,77.1,87.7,69
2016,7,EST,77.1,87.7,69
2016,8,EST,77.1,87.7,69
2016,9,EST,77.1,87.7,69
2016,10,EST,77.1,87.7,69
2016,11,EST,77.1,87.7,69
2016,12,EST,77.1,87.7,69
2017,1,EST,81.5,88.5,74.8
2017,2,EST,81.5,88.5,74.8
